flow_src_ip,flow_dst_ip,flow_src_port,flow_dst_port,protocol,flow_bucket,flow_duration,total_fwd_packets,total_bwd_packets,packet_len_mean,packet_len_min,packet_len_max,packet_len_std,total_bytes_fwd,total_bytes_bwd,bytes_per_sec,packets_per_sec,flow_iat_mean,flow_iat_min,flow_iat_max,flow_iat_std,fwd_bwd_ratio,syn_flag_count,label
10.0.0.1,10.0.0.2,0,0,ICMP,3530776204,7.20E-05,1,1,98,98,98,0,98,98,21777048.58,27776.84768,7.20E-05,7.20E-05,7.20E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776206,6.99E-05,1,1,98,98,98,0,98,98,22445968.16,28630.06143,6.99E-05,6.99E-05,6.99E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776208,7.10E-05,1,1,98,98,98,0,98,98,22069357.96,28149.69128,7.10E-05,7.10E-05,7.10E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776210,6.89E-05,1,1,98,98,98,0,98,98,22756639,29026.32526,6.89E-05,6.89E-05,6.89E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776212,7.20E-05,1,1,98,98,98,0,98,98,21777048.58,27776.84768,7.20E-05,7.20E-05,7.20E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776214,6.79E-05,1,1,98,98,98,0,98,98,23076030.43,29433.71228,6.79E-05,6.79E-05,6.79E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776216,7.10E-05,1,1,98,98,98,0,98,98,22069357.96,28149.69128,7.10E-05,7.10E-05,7.10E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776218,6.20E-05,1,1,98,98,98,0,98,98,25294879.51,32263.87692,6.20E-05,6.20E-05,6.20E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776220,7.61E-05,1,1,98,98,98,0,98,98,20616516.21,26296.5768,7.61E-05,7.61E-05,7.61E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776222,6.70E-05,1,1,98,98,98,0,98,98,23404514.85,29852.69751,6.70E-05,6.70E-05,6.70E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530776224,6.51E-05,1,1,98,98,98,0,98,98,24090361.44,30727.50183,6.51E-05,6.51E-05,6.51E-05,0,1,0,normal
